code,terms,primary,note
850819,wet and dry vacuum;shop vacuum,yes,Vacuum cleaners with a self-contained motor not covered by 850811.
850860,industrial vacuum;central vacuum system,yes,Vacuum cleaners without a self-contained electric motor.
8509,domestic appliances;kitchen appliances,no,
850940,mixer grinder;food processor;blender;juicer;food grinder,yes,Food grinders, mixers and juice extractors with a self-contained motor.
850980,other domestic appliance;electric domestic appliance,yes,Electro-mechanical domestic appliances not covered elsewhere in 8509.
8510,shavers;grooming appliances,yes,Shavers, hair clippers and hair-removing appliances.
851010,electric shaver;razor;electric razor,yes,Shavers with a self-contained electric motor.
851030,epilator;hair removal device;trimmer,yes,Hair-removing appliances with a self-contained electric motor.
8511,ignition equipment;automotive electrical,no,
8512,vehicle lighting;automotive lighting;signalling equipment,yes,Electrical lighting and signalling equipment for vehicles.
851220,headlight;headlamp;vehicle headlight;car light;tail light,yes,Electrical lighting and visual signalling equipment for vehicles.
851290,vehicle lighting parts;horn parts;wiper motor parts,yes,Parts of vehicle lighting and signalling equipment.
8513,torches;portable lamps,yes,Portable electric lamps with their own power source.
851390,torch parts;flashlight parts;portable lamp parts,yes,Parts of portable electric lamps.
8516,electro-thermic appliances;heating appliances;home appliances,yes,Electric heaters, water heaters and cooking appliances for the home.
851629,room heater;space heater;convector heater;oil heater,yes,Electric space and soil heating apparatus.
851650,microwave;microwave oven,yes,Domestic microwave ovens.
851660,oven;electric oven;cooktop;induction cooktop;griller;roaster;cooker,yes,Ovens, cookers, cooking plates, grillers and roasters for domestic use.
851671,coffee maker;tea maker;kettle;electric kettle,yes,Domestic coffee and tea makers.
851679,water heater;geyser;immersion heater;electric water heater,yes,Electro-thermic domestic appliances not covered elsewhere in 8516.
851680,heating element;heating resistor;heater coil,yes,Electric heating resistors.
851690,heater parts;appliance heating parts,yes,Parts of electro-thermic appliances.
8517,telecom;telecommunications;networking;network equipment;phones;telephony,yes,Telephone sets and apparatus for transmitting voice, images and data over networks.
851711,cordless phone;dect phone,yes,Line telephone sets with cordless handsets.
851713,smartphone;smart phone;mobile phone;cell phone;cellphone;iphone;android phone;handset,yes,Smartphones for cellular or other wireless networks.
851714,feature phone;basic phone;keypad phone;button phone,yes,Cellular telephone sets other than smartphones.
851718,landline;landline phone;desk phone;corded phone;telephone set,yes,Telephone sets other than cellular and cordless handsets.
851761,base station;cell tower;telecom tower equipment;bts;enodeb;gnodeb,yes,Radio base stations for mobile networks.
851762,router;wifi router;network switch;ethernet switch;modem;gateway;access point;networking equipment,yes,Communication apparatus for wired and wireless networks - routers, switches and modems.
851769,set top box;stb;ott box;streaming box;dth box,yes,Set-top boxes and other reception apparatus for networks.
851770,communication apparatus parts;telephone parts,yes,Parts of telephone sets and communication apparatus.
851771,phone antenna;handset aerial;communication antenna parts,yes,Aerials, aerial reflectors and their parts.
851779,pcba;populated circuit board;phone circuit board;telecom board,yes,Populated boards and other parts of communication apparatus.
8518,audio;sound equipment;speakers;microphones,yes,Microphones, loudspeakers, headphones and audio amplifiers.
851810,microphone;mic;condenser microphone,yes,Microphones and their stands.
851821,speaker single;single loudspeaker,yes,Single loudspeakers mounted in their enclosures.
851822,speaker;speakers;bluetooth speaker;soundbar;multi speaker enclosure,yes,Multiple loudspeakers mounted in one enclosure.
851829,speaker driver;loudspeaker unit;unmounted speaker,yes,Loudspeakers not mounted in an enclosure.
851830,headphone;headphones;earphone;earphones;earbuds;tws;headset,yes,Headphones and earphones, with or without a microphone.
851840,audio amplifier;av amplifier;power amplifier,yes,Audio-frequency electric amplifiers.
851850,amplifier set;pa system;public address system,yes,Electric sound amplifier sets.
8519,sound recording;audio players,yes,Sound recording and reproducing apparatus.
851981,music player;mp3 player;audio recorder;digital audio player,yes,Sound recording and reproducing apparatus using magnetic, optical or semiconductor media.
851989,turntable;record player;other sound apparatus,yes,Sound recording and reproducing apparatus not covered elsewhere in 8519.
8521,video recording;video players,yes,Video recording and reproducing apparatus.
852110,vcr;magnetic tape video recorder,yes,Magnetic tape-type video recording apparatus.
852190,dvd player;blu ray player;digital video recorder;nvr,yes,Video recording and reproducing apparatus other than magnetic tape.
8522,audio video parts,no,
852210,pick-up cartridge;stylus cartridge,yes,Pick-up cartridges for sound reproducing apparatus.
852290,audio parts;video parts;recorder parts,yes,Parts and accessories of sound and video recording apparatus.
8523,storage media;memory media;recording media,yes,Magnetic, optical and semiconductor storage media.
852321,magnetic stripe card;swipe card,yes,Cards incorporating a magnetic stripe.
852329,magnetic media;magnetic tape;floppy disk,yes,Magnetic media other than magnetic-stripe cards.
852341,blank disc;blank dvd;blank cd,yes,Unrecorded optical media.
852349,disc;dvd;cd;recorded optical media,yes,Recorded optical media.
852351,pen drive;usb drive;flash drive;memory card;sd card;ssd module;solid state media,yes,Solid-state non-volatile storage media.
8524,display module;display panel;flat panel display,yes,Flat panel display modules, with or without touch.
852411,lcd module without drivers;bare lcd panel,yes,Liquid-crystal display modules without drivers or control circuits.
852412,oled module without drivers;bare oled panel,yes,OLED display modules without drivers or control circuits.
852419,display module without drivers,no,
852491,lcd panel;lcd display module;touch display;lcd screen,yes,Liquid-crystal display modules with drivers or control circuits.
852492,oled panel;oled display module;amoled;oled screen,yes,OLED display modules with drivers or control circuits.
852499,other display module;micro led module,yes,Flat panel display modules other than LCD or OLED.
8525,cameras;transmission apparatus;broadcast equipment,yes,Broadcast transmission apparatus and cameras.
852550,broadcast transmitter;radio transmitter,yes,Transmission apparatus without reception apparatus.
852560,transceiver;walkie talkie;two way radio;transmitter receiver,yes,Transmission apparatus incorporating reception apparatus.
852580,camera;digital camera;video camera;camcorder;television camera,yes,Television cameras, digital cameras and video camera recorders.
852581,high speed camera;slow motion camera,yes,High-speed cameras as defined in the subheading note.
852582,radiation hardened camera;space camera,yes,Radiation-hardened or radiation-tolerant cameras.
852583,night vision camera;thermal camera;infrared camera,yes,Night-vision cameras as defined in the subheading note.
852589,camera module;cctv camera;security camera;webcam module;ip camera,yes,Television and image cameras not covered elsewhere in 8525.8.
8526,radar;navigation aids;remote control,yes,Radar, radio navigational aid and radio remote control apparatus.
852610,radar;radar apparatus;radar system,yes,Radar apparatus.
852691,gps;navigation aid;radio navigation;gnss receiver,yes,Radio navigational aid apparatus, including GPS and GNSS receivers.
852692,remote control;rf remote;radio remote control,yes,Radio remote control apparatus.
8527,radio receivers;radios,yes,Radio-broadcast receivers.
852713,portable radio with player;boombox,no,
852719,portable radio;transistor radio,yes,Radio-broadcast receivers that run without an external power source.
852721,car stereo;car radio;head unit,yes,Car radio-broadcast receivers combined with sound recording or reproducing.
852729,car radio without player,no,
852791,home audio system;hi-fi system;music system,yes,Radio-broadcast receivers combined with sound recording or reproducing apparatus.
852792,clock radio,no,
852799,other radio receiver;tuner,yes,Radio-broadcast receivers not covered elsewhere in 8527.
8528,display;screens;monitors;televisions;projectors,yes,Monitors, projectors and television reception apparatus.
852842,crt computer monitor,no,
852849,crt monitor,no,
852852,monitor;computer monitor;lcd monitor;led monitor;pc monitor;display screen,yes,Monitors designed to connect to a computer.
852859,industrial monitor;signage display;professional monitor,yes,Monitors other than cathode-ray tube not designed for a computer.
852871,tv tuner;set top reception apparatus,yes,Television reception apparatus not incorporating a display.
852872,television;tv;colour tv;led tv;smart tv;tv set,yes,Television reception apparatus incorporating a display.
8529,broadcast parts;tv parts;reception apparatus parts,yes,Parts of transmission and reception apparatus.
852910,antenna;aerial;dish antenna;tv antenna,yes,Aerials and aerial reflectors of all kinds.
852990,tv parts;display parts;broadcast equipment parts;open cell,yes,Parts of the reception and transmission apparatus of 8524 to 8528.
8530,traffic control;signalling equipment,yes,Signalling, safety and traffic control equipment.
853010,railway signalling;rail traffic control,yes,Signalling and traffic control equipment for railways and tramways.
853080,traffic signal;traffic light;road signalling;parking control,yes,Signalling and traffic control equipment for roads, waterways and ports.
8531,alarms;indicator panels;sirens,yes,Electric sound or visual signalling apparatus.
8532,capacitors,yes,Electrical capacitors of all types.
853210,power capacitor;power factor capacitor,yes,Fixed capacitors for 50/60 Hz power circuits.
853221,tantalum capacitor,yes,Fixed tantalum capacitors.
853222,electrolytic capacitor;aluminium electrolytic capacitor,yes,Fixed aluminium electrolytic capacitors.
853223,single layer ceramic capacitor,no,
853224,mlcc;ceramic capacitor;multilayer ceramic capacitor,yes,Fixed multilayer ceramic capacitors - MLCCs.
853225,film capacitor;paper capacitor;plastic film capacitor,yes,Fixed capacitors with a paper or plastic dielectric.
853229,other fixed capacitor,no,
853230,variable capacitor;trimmer capacitor,yes,Variable and pre-set capacitors.
8533,resistors,yes,Electrical resistors, rheostats and potentiometers.
853310,carbon resistor;film resistor,yes,Fixed carbon composition and film resistors.
853321,resistor;chip resistor;smd resistor;fixed resistor,yes,Fixed resistors rated at 20 W or less.
853329,power resistor;high power resistor,yes,Fixed resistors rated above 20 W.
853331,wirewound variable resistor low power,no,
853339,wirewound variable resistor high power,no,
853340,potentiometer;variable resistor;rheostat;trimpot,yes,Variable resistors, rheostats and potentiometers.
8534,printed circuit;bare board manufacturing,yes,Bare printed circuits.
853400,pcb;printed circuit board;bare board;circuit board;multilayer pcb;flex pcb;hdi pcb,yes,Bare printed circuits before components are mounted.
8535,high voltage switchgear;switchgear above 1000v,yes,Switching and protection apparatus for above 1000 volts.
853510,hv fuse;high voltage fuse,yes,Fuses for a voltage exceeding 1000 volts.
853521,hv circuit breaker medium;circuit breaker below 72.5kv,yes,Automatic circuit breakers above 1000 volts but below 72.5 kV.
853529,ehv circuit breaker;circuit breaker above 72.5kv,yes,Automatic circuit breakers of 72.5 kV or more.
853530,isolator switch;hv isolator;disconnector,yes,Isolating and make-and-break switches above 1000 volts.
853540,lightning arrester;surge arrester;surge suppressor;voltage limiter,yes,Lightning arresters, voltage limiters and surge suppressors.
853590,other hv switchgear,no,
8536,switches;sockets;connectors;low voltage switchgear,yes,Switching, protection and connection apparatus up to 1000 volts.
853610,fuse;low voltage fuse;cartridge fuse,yes,Fuses for a voltage not exceeding 1000 volts.
853620,circuit breaker;mcb;rccb;rcbo;breaker,yes,Automatic circuit breakers up to 1000 volts.
853630,surge protector;circuit protection device,yes,Apparatus for protecting electrical circuits up to 1000 volts.
853641,relay;low voltage relay;signal relay,yes,Relays for a voltage not exceeding 60 volts.
853649,power relay;contactor;relay above 60v,yes,Relays for a voltage exceeding 60 volts.
853650,switch;electrical switch;toggle switch;modular switch;rocker switch,yes,Electrical switches up to 1000 volts.
853661,lamp holder;bulb holder,yes,Lamp-holders.
853669,plug;socket;power socket;electrical plug;connector;usb connector,yes,Plugs and sockets up to 1000 volts.
853690,terminal block;wire connector;junction box;connection apparatus,yes,Apparatus for switching or connecting circuits not covered elsewhere in 8536.
8537,control panels;switchboards;distribution boards,yes,Boards, panels and consoles for electric control.
853710,control panel;electrical panel;switchboard;distribution board;console,yes,Boards, panels and consoles for electric control up to 1000 volts.
853720,hv control panel;substation panel,yes,Boards, panels and consoles for electric control above 1000 volts.
8538,switchgear components,yes,Parts of switching, protection and control apparatus.
853810,empty panel;panel enclosure,yes,Boards and panels not equipped with their apparatus.
853890,switchgear parts;phone mechanics;handset parts;electrical apparatus parts,yes,Parts of the apparatus of 8535, 8536 and 8537.
8539,lamps;bulbs;light bulbs;lighting,yes,Electric filament, discharge, LED and UV lamps.
853910,sealed beam lamp;sealed beam headlight,yes,Sealed beam lamp units.
853921,halogen lamp;tungsten halogen bulb,yes,Tungsten halogen filament lamps.
853922,filament bulb low power;incandescent bulb small,no,
853929,incandescent bulb;filament lamp;gls bulb,yes,Filament lamps not covered elsewhere in 8539.2.
853931,fluorescent lamp;tube light;cfl;fluorescent tube,yes,Hot-cathode fluorescent discharge lamps.
853932,mercury vapour lamp;sodium vapour lamp;metal halide lamp;street light lamp,yes,Mercury, sodium vapour and metal halide discharge lamps.
853939,other discharge lamp;xenon lamp,yes,Discharge lamps other than fluorescent hot cathode.
853941,arc lamp;carbon arc lamp,yes,Arc-lamps.
853949,uv lamp;infrared lamp;ultraviolet lamp;germicidal lamp,yes,Ultra-violet and infra-red lamps.
853951,led module;led lamp module,yes,Light-emitting diode modules.
853952,led bulb;led lamp;led light;led tube,yes,Light-emitting diode lamps.
8540,vacuum tubes;cathode ray tubes,yes,Thermionic, cold cathode and photo-cathode valves and tubes.
854011,colour crt;colour picture tube,no,
854012,monochrome crt;black and white picture tube,no,
854020,image intensifier;camera tube;photo-cathode tube,yes,Television camera tubes, image converters and intensifiers.
854060,other cathode ray tube,no,
854079,microwave tube;klystron;travelling wave tube,yes,Microwave tubes other than magnetrons and grid-controlled tubes.
854081,receiver valve;amplifier valve;vacuum tube,yes,Receiver and amplifier valves and tubes.
854089,other valve or tube,no,
854091,crt parts;cathode ray tube parts,yes,Parts of cathode-ray tubes.
8541,semiconductor;discrete semiconductors;discrete devices;solar cells,yes,Diodes, transistors, LEDs, solar cells and similar discrete semiconductor devices.
854110,diode;rectifier;zener diode;signal diode,yes,Diodes other than photosensitive or light-emitting.
854121,transistor low power;small signal transistor;mosfet small,yes,Transistors dissipating less than 1 W.
854129,transistor;power transistor;mosfet;igbt;power semiconductor,yes,Transistors dissipating 1 W or more.
854130,thyristor;triac;scr;diac,yes,Thyristors, diacs and triacs.
854141,led;light emitting diode;led chip;led package;led die,yes,Light-emitting diodes.
854142,solar cell;photovoltaic cell;pv cell;unassembled solar cell,yes,Photovoltaic cells not assembled into modules or panels.
854143,solar panel;solar module;pv module;photovoltaic panel;solar pv,yes,Photovoltaic cells assembled into modules or panels.
854149,photodiode;phototransistor;optocoupler;photosensitive device,yes,Photosensitive semiconductor devices other than LEDs and photovoltaic cells.
854150,semiconductor device other;photovoltaic device other,no,
854151,semiconductor transducer;mems sensor;semiconductor sensor,yes,Semiconductor-based transducers and MEMS sensors.
854159,other photosensitive semiconductor,no,
854160,crystal oscillator;quartz crystal;piezoelectric crystal;oscillator;resonator,yes,Mounted piezo-electric crystals used for timing.
854190,semiconductor device parts;diode parts;transistor parts,yes,Parts of diodes, transistors and similar semiconductor devices.
8542,integrated circuits;chips;semiconductors;ics,yes,Electronic integrated circuits - processors, memory and other chips.
854231,processor;cpu;gpu;microprocessor;microcontroller;soc;system on chip;application processor;logic chip,yes,Processor and controller integrated circuits.
854232,memory chip;dram;sram;nand;flash memory;ram;memory ic;ddr;hbm,yes,Memory integrated circuits.
854233,amplifier ic;operational amplifier;op amp;audio amplifier chip,yes,Amplifier integrated circuits.
854239,integrated circuit;ic;chip;analog ic;power management ic;pmic;mixed signal ic,yes,Integrated circuits other than processor, memory or amplifier types.
854290,chip parts;ic parts;semiconductor package;lead frame,yes,Parts of electronic integrated circuits.
8543,electrical machines with individual functions,yes,Electrical machines and apparatus having individual functions.
854310,particle accelerator,yes,Particle accelerators.
854320,signal generator;function generator,yes,Electrical signal generators.
854330,electroplating machine;electrolysis equipment,yes,Machines for electroplating, electrolysis or electrophoresis.
854370,electronic machine;e-cigarette;electric fence energiser;electronic apparatus,yes,Electrical machines with individual functions not covered elsewhere - a broad residual line.
854390,electrical machine parts,yes,Parts of the electrical machines of 8543.
8544,cable;cables;wire;wires;insulated conductors,yes,Insulated electric conductors and optical fibre cables.
854411,winding wire;copper winding wire;magnet wire;enamelled copper wire,yes,Copper winding wire.
854419,winding wire other metal;aluminium winding wire,yes,Winding wire of metals other than copper.
854420,coaxial cable;co-axial cable;rf cable,yes,Co-axial cable and other co-axial conductors.
854430,wiring harness;ignition wiring set;automotive wiring;vehicle wiring loom,yes,Wiring sets for vehicles, aircraft and ships.
854442,data cable;usb cable;patch cable;cable with connectors;power cord,yes,Insulated conductors up to 1000 V fitted with connectors.
854449,electric wire;house wiring cable;insulated cable;building wire,yes,Insulated conductors up to 1000 V without connectors.
854460,high voltage cable;power cable;ht cable;xlpe cable,yes,Insulated conductors for more than 1000 V.
854470,optical fibre cable;fiber optic cable;fibre cable;ofc,yes,Optical fibre cables.
8545,carbon electrodes;graphite electrodes,yes,Carbon electrodes, brushes and other graphite articles.
854511,furnace electrode;graphite electrode;eaf electrode,yes,Carbon electrodes for furnaces.
854519,carbon electrode;carbon brush;motor brush,yes,Carbon electrodes for uses other than furnaces.
8546,insulators,yes,Electrical insulators.
854610,glass insulator,yes,Electrical insulators of glass.
854620,ceramic insulator;porcelain insulator,yes,Electrical insulators of ceramics.
854690,polymer insulator;composite insulator,yes,Electrical insulators other than glass or ceramic.
8547,insulating fittings,yes,Insulating fittings for electrical machines and equipment.
854710,ceramic insulating fitting,yes,Insulating fittings of ceramics.
854720,plastic insulating fitting;plastic insulator part,yes,Insulating fittings of plastics.
854790,other insulating fitting;conduit tubing,yes,Insulating fittings other than ceramic or plastic.
8548,battery scrap;electrical waste,yes,Waste and scrap of primary cells, batteries and accumulators.

# ===========================================================================
# CHAPTER 90 - optical, measuring and medical instruments
# ===========================================================================
90,instruments;optical instruments;measuring instruments;medical devices;instrumentation,yes,Chapter 90 - optical, measuring, precision and medical instruments.
9012,electron microscope;microscopes,yes,Microscopes other than optical, and diffraction apparatus.
9013,lasers;optical devices,yes,Lasers and other optical appliances.
901320,laser;laser module;industrial laser;laser source,yes,Lasers other than laser diodes.
9014,navigation instruments;compass,yes,Navigational instruments and appliances.
9015,surveying equipment;total station;theodolite,yes,Surveying, hydrographic and meteorological instruments.
9016,precision balance;analytical balance,yes,Balances sensitive to 50 mg or better.
9017,drawing instruments;measuring rules,no,
9018,medical electronics;diagnostic equipment;medical devices,yes,Medical, surgical and electro-diagnostic instruments.
901811,ecg;electrocardiograph;ekg machine,yes,Electro-cardiographs.
901813,mri;magnetic resonance imaging;mri scanner,yes,Magnetic resonance imaging apparatus.
901814,gamma camera;scintigraphic apparatus;nuclear imaging,yes,Scintigraphic apparatus.
901819,patient monitor;ultrasound scanner;eeg;electro-diagnostic apparatus,yes,Electro-diagnostic apparatus not covered elsewhere in 9018.1.
901820,uv therapy device;infrared therapy device,yes,Ultra-violet and infra-red ray apparatus.
