hs8,description,display_name
84713090,OTHR DGTL AUTOMATC DATA-PROCESNG MACHINE WEGHNG <=10KG WTH A KEYBOARD AND DISPLAY CONSISTNG OF A CENTRAL PROCESNG MA,"Portable computers to 10kg, other"
84714110,MICRO COMPUTER/PROCESSOR INCLUDNG OF HIGH POWERED PERSONAL COMPUTER,Microcomputers and workstations
84714120,LARGE/MAIN FRAME COMPUTER,Mainframe computers
84714190,OTHR DGTL AUTOMATC DATA-PROCESNG MACHINE COMPRISNG A CENTRAL PROCESNG UNIT AND AN INPUT AND OUTPUT UNIT WH/NOT COMBI,Computers with input and output
84714900,OTHR DIGITL AUTOMATC DATAPROCESNG MACHINE PRESENTED IN THE FORM OF SYSTEM,Computers presented as systems
84715000,"DIGITL PROCESNG UNITS EXCL OF SUB HDNGS 847141 AND 847149,WH/NOT CONT ONE/TWO TYPS OF UNI,LIKE STORG/INPUT/OUTPUT UNI","Processing units, standalone"
84716010,COMBINED INPUT OR OUT PUT UNITS,Combined input-output units
84716024,GRAPHIC PRINTER,Graphic printers
84716025,PLOTTER,Plotters
84716029,OTHER PRINTER,"Printers, other"
84716040,KEYBOARD,Keyboards
84716050,SCANNERS,Scanners
84716060,MOUSE,Mice
84716090,"OTHERS-OF-INPUT/OUTPUT UNITS,WH/NOT CONTAINGSTORAGE UNITS IN THE SAME HOUSNG","Input-output units, other"
84717010,FLOPPY DISC DRIVES,Floppy disc drives
84717020,WINCHESTER/HARD DISC DRIVES,Hard disc drives
84717030,REMOVAL/EXCHANGEABLE DISC DRIVES,Removable disc drives
84717040,MAGNETIC TAPE DRIVES,Magnetic tape drives
84717050,CARTRIDGE TAPE DRIVE,Cartridge tape drives
84717060,CD-ROM DRIVE,CD-ROM drives
84717070,DIGITAL VIDEO DISC DRIVE,DVD drives
84717090,OTHERS-OF-STORAGE UNITS.,"Storage units, other"
84718000,ANALOGUE/HYBRID AUTOMTC DATA PRCSNG MCHNS,Analogue and hybrid computers
84719000,OTHERS-OF-OTHERS-OF-AUTOMATIC DATA PROCESSING MACHINES ANDUNITS,"Data-processing machines, other"
84729091,WORD-PROCESSING MACHINES,Word-processing machines
84732100,"PRTS AND ACCSSRS OF ELCTRNC CALCULTNG MCHNS OF SUBHDG NO.847010,847021/847029",Electronic calculator parts
84732900,PRTS AND ACCSSRS OF OTHR MCHNS OF 8470,Cash register parts
84733010,PRTS AND ACCSSRS OF MICROPROCESSORS,Microprocessor parts
84733020,PRTS AND ACCSSRS OF MOTHERBOARDS,Motherboard parts
84733030,PRTS AND ACCSSRS OTHR MNTD PRNTD CRCIT BRDS,Mounted circuit board parts
84733040,HEAD STACK,Head stacks
84733091,NETWORK ACCESS CONTROLLERS,Network access controllers
84733092,GRAPHIC AND INTELLIGENCE BASED SCRIPT,Graphics and script boards
84733099,OTHERS-OF-PRTS AND ACCSSRS OF MCHNS OF HDG NO.8471,"Computer parts, other"
84734010,"PRTS OF DUPLCTNG, HECTOGRAPH/STENCIL MCHNS",Duplicating machine parts
84734090,PRTS OF OTHR OFFICE MCHNS OF HDG NO.8472,"Office machine parts, other"
85011011,MICRO MOTOR WTH OUTPUT <=37.5 W,Micro motors to 37.5W
85042100,LQD DIELECTRC TRNSFRMRS HVNG A PWR HNDLNG CAPACITY NT EXCDNG 650 KVA,Liquid transformers to 650kVA
85042200,LQD DIELECTRC TRNSFRMRS HVNG A PWR HNDLNG CAPACITY>650 KVA BUT<=10000 KVA,Liquid transformers to 10MVA
85043100,OTHR TRNSFRMRS HVNG A PWR HNDLNG CAPACITY NOT EXCDNG 1 KVA,Dry transformers to 1kVA
85043200,OTHR TRNSFRMRS HVNG A PWR HNDLNG CAPACITY EXCDNG 1 KVA BUT NT EXCDNG 16KVA,Dry transformers to 16kVA
85044010,ELECTRIC INVERTERS,Inverters
85044021,DIP BRIDGE RECTIFIERS,Bridge rectifiers
85044029,OTHER RECTIFIERS,"Rectifiers, other"
85044030,BATTERY CHARGERS,Battery chargers
85044040,NON AUTOMATIC VOLTAGE REGLTOR AND STABILZR,"Voltage stabilisers, non-automatic"
85044090,OTHERS-OF-STATIC CONVERTERS,"Static converters, other"
85045010,CHOKE COILS(CHOKES),Choke coils
85045090,OTHERS-OF-OTHER INDUCTORS:,"Inductors, other"
85049010,PARTS OF TRANSFORMERS,Transformer parts
85049090,PRTS OF OTHR ELECTRIC PWR MCHNRY OF HD8504POWER MACHINERY OF HDG 8504,"Power machinery parts, other"
85051110,FERRITE CORES,Ferrite cores
85051190,OTHERS-OF-PERMANENT MGNTS AND ARTCLS INTNDED TO BECOMEPERMANENT MGNTS AFTER MGNTSN; OF METAL,"Metal permanent magnets, other"
85051900,PERMANENT MGNTS AND ARTCLS INTNDED TO BECOMEPERMANENT MGNTS AFTER MGNTSN;OF OTHR MTRL,Non-metal permanent magnets
85061000,PRIMARY CELLS AND PRIMARY BATTERIES OF MANGANESE DIOXIDE OF AN EXTRNL VOLUME <= 300CC,Manganese dioxide cells
85063000,PRIMARY CELLS AND PRIMARY BATTERIES OF MERCURIC OXIDE OF AN EXTRNL VOLUME <=300CC,Mercuric oxide cells
85064000,PRIMARY CELLS AND PRIMARY BATTERIES OF SILVER OXIDE OF AN EXTRNL VOLUME<=300CC,Silver oxide cells
85065000,LITHIUM,Lithium primary cells
85066000,AIR ZINC,Zinc-air cells
85068010,"BUTTON CELL FR QUARTZ WATCH,CLCULTRS ETC.",Button cells for watches
85068090,OTHERS-OF-OTHER PRIMARY CELLS AND PRIMARY BATTERIES:,"Primary cells, other"
85069000,PARS OF PRIMARY CELLS AND PRIMARY BATTERIES,Primary cell parts
85071000,LEAD ACID ACCUMULATORS OF A KIND USED FOR STARTING PISTON ENGINES,Lead-acid engine starter batteries
85072000,OTHER LEAD-ACID ACCUMULATORS,"Lead-acid batteries, other"
85073000,NICKEL-CADMIUM ACCUMULATORS,Nickel-cadmium batteries
85074000,NICKEL-IRON ACCUMULATORS,Nickel-iron batteries
85075000,NICKEL-METAL HYDRIDE,Nickel-metal hydride batteries
85076000,LITHIUM-ION,Lithium-ion batteries
85078000,OTHER ACCUMULATORS,"Accumulators, other chemistries"
85079010,HRD RUBBER ACCMLTRS CASES AND SEPARATORS,Hard rubber cases and separators
85079090,OTHER PARTS,"Accumulator parts, other"
85112010,ELECTRONIC MAGNETO SYSTEMS,Electronic magneto systems
85165000,MICROWAVE OVENS,Microwave ovens
85171110,PUSH BUTTON TYPE,"Cordless sets, push-button"
85171190,OTHERS-OF-LINE TELPHON SET WTH CORDLESS HAND SETS.,"Cordless sets, other"
85171211,"MOBILE PHONES, OTHER THAN PUSH BUTTON TYPE","Mobile phones, touchscreen"
85171219,"MOBILE PHONES, PUSH BUTTON TYPE","Mobile phones, push-button"
85171290,OTHERS-OF-TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRELESS NETWORKS:,"Cellular network phones, other"
85171300,Smartphones,Smartphones
85171400,Other telephones for cellular networks or for other wireless networks,Feature phones
85171810,PUSH BUTTON TYPE,"Corded sets, push-button"
85171890,"OTHERS-OF-OTHERS-OF-ELCTRCL APARTS FR LINE TELEPHNY/TELGRPHY, INCL TELPHON SETS WTH CORDLS HANDSETCARIER-CURENT LINE SYSTM; VI","Corded sets, other"
85176100,BASE STATIONS,Mobile base stations
85176210,PLCC EQUIPMENT,Power line carrier equipment
85176220,VOICE FREQUENCY TELEGRAPHY,Voice frequency telegraphy
85176230,Modems (modulators-demodulators) for xDSL based Wireline Telephony,xDSL modems
85176250,DIGITAL LOOP CARRIER SYSTEM (DLC),Digital loop carrier systems
85176260,SYNCHRONOUS DIGITAL HIERARCHY SYSTEM (SDH),SDH transmission systems
85176270,"Multiplexers, statistical multiplexers for PDH based Wireline Telephony",PDH multiplexers
85176290,"OTHERS-OF-MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMISSION OR REGENERATION OF VOICE, IMAGES OR OTHER DATA, INCLUDING SW","Switching and routing, other"
85176910,ISDN TERMINALS,ISDN terminals
85176920,ISDN TERMINAL ADAPTERS,ISDN terminal adapters
85176940,X25 PADS,X.25 packet assemblers
85176960,Set top boxes for gaining access to internet for Wireline Telephony,Set-top boxes with internet
85176970,ATTACHMENTS FOR TELEPHONES,Telephone attachments
85176990,"OTHR APARTUS,FR CARRIER/DIGITAL LINE SYSTM","Carrier line apparatus, other"
85177100,Aerials and aerial reflectors of all kinds parts suitable for use therewith,Aerials and aerial reflectors
85177910,"Populated, loaded or stuffed printed circuit boards",Populated circuit boards
85177990,"OTHERS-OF-OTHERS-OF-ELCTRCL APARTS FR LINE TELEPHNY/TELGRPHY, INCL TELPHON SETS WTH CORDLS HANDSETCARIER-CURENT LINE SYSTM; VI","Telecom parts, other"
85181000,MICROPHONES AND STANDS THERE FOR,Microphones and stands
85182110,"WIRELESS SINGLE LOUDSPEKERS,MOUNTD IN THR ENCLSRS","Single loudspeakers, wireless"
85182190,"OTHER SINGLE LOUDSPEKERS,MOUNTD IN THR ENCLSRS","Single loudspeakers, other"
85182210,WIRELESS MULTIPLE LOUD SPEAKERS; MOUNTED IN THE SAME ENCLOSURE,"Multiple loudspeakers, wireless"
85182290,OTHER MULTIPLE LOUD SPEAKERS; MOUNTED IN THE SAME ENCLOSURE,"Multiple loudspeakers, other"
85182910,"WIRELESS OTHR LOUD SPEAKERS,W/N MNTD IN THR ENCLSRS","Loudspeaker drivers, wireless"
85182990,"OTHR LOUD SPEAKERS,W/N MNTD IN THR ENCLSRS","Loudspeaker drivers, other"
85183011,TRUE WIRELESS STEREO SOUND CHANNEL NOT CNNCTED BY WIRE,True wireless stereo earbuds
85183019,OTHER SOUND CHANNEL NOT CNNCTED BY WIRE,"Wireless headphones, other"
85183020,HEADPHONE AND EARPHONES W/N COMBINED WITH MICROPHONE CNNTCD THROUGH WIRED MEDIUM,Wired headphones and earphones
85183090,OTHER HEADPHONE AND EARPHONES,"Headphones and earphones, other"
85184000,AUDIO-FREQUENCY ELCTRC AMPLIFIERS,Audio-frequency amplifiers
85185000,ELECTRIC SOUND AMPLIFIER SETS,Sound amplifier sets
85189000,PARTS OF HDNG 8518,Audio equipment parts
85192000,COIN/DISC-OPERATED RECORD PLAYERS,Coin-operated record players
85193000,TURNTABLES(RECORD-DECKS)WTH AUTOMATC RECORD CHANGING MECHANISM,Turntables with record changer
85195000,TELEPHONE ANSWRNG MCHNS,Telephone answering machines
85198100,TRANSCRIBING MACHINES,Transcribing machines
85198910,C.D.(AUDIO COMPACT DISC PLAYER),Compact disc players
85198920,C.D. CHANGR INCLDNG MINI /LASER DISC PLYR,CD and laser disc changers
85198930,TIME CODE READERS,Time code readers
85198940,MP-3 PLAYER,MP3 players
85198990,OTHR RECORD-PLAYERS WITHOUT LOUD SPEAKERS,"Record players, other"
85211011,PROFESSIONAL VIDEO TAPE RECORDERS WITH 3/4 OR 1 TAPE - CASSETTE TAPE-TYPE,Professional cassette recorders
85211012,VIDEO RECORDERS-CASSETTE TAPE-TYPE BETACAM/ BETACAM SP/ DIGITAL BETACAM S- VHSOR DIGITAL-S,Betacam and VHS cassette recorders
85211019,OTHR CASSETTE TAPE-TYPE VIDEO TAPE RECORDR,"Cassette video recorders, other"
85211021,PROFESSIONAL VIDEO TAPE RECORDERS WITH 3/4 OR 1 TAPE - SPOOL TYPE,Professional spool recorders
85211022,VIDEO RECORDERS-SPOOL TYPE BETACAM/ BETACAM SP/ DIGITAL BETACAM S- VHSOR DIGITAL-S,Betacam and VHS spool recorders
85211029,OTHR VIDEO RECORDERS-SPOOL TYPE,"Spool video recorders, other"
85211091,PROFESSIONAL VIDEO TAPE RECORDERS WITH 3/4 OR 1 TAPE - OTHER TYPE,"Professional recorders, other type"
85211092,VIDEO RECORDERS-OTHER TYPE BETACAM/ BETACAM SP/ DIGITAL BETACAM S- VHSOR DIGITAL-S,"Betacam and VHS recorders, other type"
85211099,OTHER VIDEO RECORDERS-OTHER TYPE,"Video recorders, other"
85219010,VIDEO DUPLCTNG SYSTM WTH MSTR AND SLV CNTRL,Video duplicating systems
85219020,DVD PLAYER,DVD players
85219090,OTHR VIDEO RECRDNG/REPRDCNG APPRTS,"Video recording apparatus, other"
85221000,PICK-UP CARTRIDGE,Pick-up cartridges
85229000,OTHR PARTS AND ACCESSORIES OF HDNG 8519-8521,Audio-video recorder parts
85232100,CARDS INCORPORTNG A MAGNETIC STRIPE,Magnetic stripe cards
85232910,AUDIO CASSETTES FR RECORDING SOUNDS,"Audio cassettes, blank"
85232920,VIDEO CASSETTES FR RECORDING PHENOMENA OTHER THAN SOUNDS,"Video cassettes, blank"
85232930,"OTHER VIDEO MAGNETIC TAPE INCLUDING THOSE N HUBS AND REELS, ROLLS, PANCAKES AND JUMBO ROLLS",Video tape in reels and rolls
85232940,3/4 INCH AND 1 INCH VIDEO CASSETTES,"Video cassettes, 3/4 and 1 inch"
85232950,1 /2 VIDEO CASSETTE SUITABLE FR BETACAM BETACAM SP/M II AND VHS TYPE VCR,"Video cassettes, 1/2 inch"
85232960,OTHER VIDEO CASSETTES,"Video cassettes, other"
85232970,"OTHER AUDIO MAGNTIC TAPE OF WIDTH EXCEEDNG6.5 MM BUT NOT EXCEEDING 35 MM, AND 16 MM SPROCKET TAPES","Audio tape, 6.5 to 35mm"
85232980,HARD DISC PACK,Hard disc packs
85232990,OTHER FR RECORDING SOUNDS,"Magnetic media, other"
85234110,COMPACT DISC (AUDIO/VIDEO),"Compact discs, blank"
85234120,"BLANK MASTER DISCS (THAT IS, SUBSTRATE) FOR PRODUCING STAMPER FOR COMPACT DISC",Blank master discs for stampers
85234130,MATRICES FOR PRODUCTION OF RECORDS; PREPARED RECORD BLANK,Record matrices and blanks
85234140,CARTRIDGE TAPE,"Cartridge tape, blank"
85234150,1/2 VIDEOCASSETTE SUITABLE TO WORK WITH DIGITAL,"Digital video cassettes, 1/2 inch"
85234160,DVD,"DVDs, blank"
85234190,OTHER UNRECORDED OPTICAL MEDIA,"Optical media, blank, other"
85234910,COMPACT DISC (AUDIO),"Compact discs, audio"
85234920,COMPACT DISC (VIDEO),"Compact discs, video"
85234930,"STAMPER FOR CD AUDIO, CD VIDEO AND CD-ROM",CD stampers
85234940,DVD,"DVDs, recorded"
85234950,MATRICES FOR PRODUCTION OF RECORDS; PREPARED RECORD BLANK,"Record matrices, recorded"
85234960,CARTRIDGE TAPE,"Cartridge tape, recorded"
85234970,1/2 VIDEOCASSETTE SUITABLE TO WORK WITH DIGITAL,"Digital video cassettes, recorded"
85234990,OTHER OPTICAL MEDIA OF HDG 852349,"Optical media, recorded, other"
85235100,SOLID-STATE NON-VOLATILE STORAGE DEVICES,Solid-state storage devices
85235210,SIM CARDS,SIM cards
85235220,MEMORY CARDS,Memory cards
85235290,OTHERS-OF-SMART CARDS,"Smart cards, other"
85235910,PROXIMITY CARDS AND TAGS,Proximity cards and tags
85235990,"OTHERS-OF-OTHERS-OF-PREPRD UNRECORDED MEDIA FOR SOUND RECRDNG/SMLR RECRDNG OF OTHRPHENOMENA,OTHR THN PRDCTS OF CH.37","Semiconductor media, other"
85238010,"LEARNING AIDS, SUCH AS, LANGUAGE RECORDS",Language and learning records
85238030,AUD-VISUAL NEWS/VIEWS MTRL INCL NEWS CLPNGWITH TP WD <=4MM,News and current affairs material
85238040,CHILDREN S VIDEO FILMS TP WD <=4MM,Children's video films
85238050,VIDEO COMPACT DISC OF EDUCATIONAL NATURE,Educational video discs
85238060,2-D/3D COMPUTER GRAPHICS,"Computer graphics, 2D and 3D"
85238090,"OTHERS-OF-OTHERS-OF-PREPRD UNRECORDED MEDIA FOR SOUND RECRDNG/SMLR RECRDNG OF OTHRPHENOMENA,OTHR THN PRDCTS OF CH.37","Recorded media, other"
85241110,Of liquid crystals : For the goods of sub-heading 8471 30 or 8471 41,"Bare LCD, for computers"
85241120,Of liquid crystals : For the goods of sub-heading 8517 13 or 8517 14,"Bare LCD, for phones"
85241130,Of liquid crystals : For the goods of sub-heading 8528 72 or 8528 73,"Bare LCD, for monitors and TVs"
85241190,OTHERS-OF-Without drivers or control circuits Of liquid crystals,"Bare LCD, other uses"
85241210,Of organic light-emitting diodes (OLED) : For the goods of sub-heading 8471 30 or 8471 41,"Bare OLED, for computers"
85241220,Of organic light-emitting diodes (OLED) : For the goods of sub-heading 8517 13 or 8517 14,"Bare OLED, for phones"
85241230,Of organic light-emitting diodes (OLED) : For the goods of sub-heading 8528 72 or 8528 73,"Bare OLED, for monitors and TVs"
85241290,OTHERS-OF-Without drivers or control circuits Of organic light-emitting diodes (OLED),"Bare OLED, other uses"
85241910,Other : For the goods of sub-heading 8471 30 or 8471 41,"Bare modules, for computers"
85241920,Other : For the goods of sub-heading 8517 13 or 8517 14,"Bare modules, for phones"
85241930,Other : For the goods of sub-heading 8528 72 or 8528 73,"Bare modules, for monitors and TVs"
85241990,"OTHERS-OF-OTHERS-OF-FLAT PANEL DISPLAY MODULES, WHETHER OR NOT INCORPORATING TOUCH-SENSITIVE SCREENS","Bare modules, other uses"
85249110,Of liquid crystals : For the goods of sub-heading 8471 30 or 8471 41,"Driven LCD, for computers"
85249120,Of liquid crystals : For the goods of sub-heading 8517 13 or 8517 14,"Driven LCD, for phones"
85249130,Of liquid crystals : For the goods of sub-heading 8528 72 or 8528 73,"Driven LCD, for monitors and TVs"
85249190,OTHERS-OF-Other: of liquid crystals,"Driven LCD, other uses"
85249210,Of organic light-emitting diodes (OLED) : For the goods of sub-heading 8471 30 or 8471 41,"Driven OLED, for computers"
85249220,Of organic light-emitting diodes (OLED) : For the goods of sub-heading 8517 13 or 8517 14,"Driven OLED, for phones"
85249230,Of organic light-emitting diodes (OLED) : For the goods of sub-heading 8528 72 or 8528 73,"Driven OLED, for monitors and TVs"
85249290,OTHERS-OF-Other: Of organic light-emitting diodes (OLED),"Driven OLED, other uses"
85249910,Other : For the goods of sub-heading 8471 30 or 8471 41,"Driven modules, for computers"
85249920,Other : For the goods of sub-heading 8517 13 or 8517 14,"Driven modules, for phones"
85249930,Other : For the goods of sub-heading 8528 72 or 8528 73,"Driven modules, for monitors and TVs"
85249990,"OTHERS-OF-OTHERS-OF-FLAT PANEL DISPLAY MODULES, WHETHER OR NOT INCORPORATING TOUCH-SENSITIVE SCREENS","Driven modules, other uses"
85255010,RADIO BROADCAST TRANSMITTER,Radio broadcast transmitters
85255020,TV BROADCAST TRANSMITTER,TV broadcast transmitters
85255030,BROADCAST EQUIPMENT SUB-SYSTEM,Broadcast sub-systems
85255040,COMMUNICATION JAMMING EQUIPMENT,Jamming equipment
85255050,Wireless microphone,Wireless microphones
85255090,OTHERS-OF-TRANSMISSION APPARATUS:,"Transmission apparatus, other"
85256000,TRANSMISSION APPARATUS INCORPORATING RECEPTION APPARATUS,Transceivers
85258010,TELEVISION CAMERAS,Television cameras
85258020,DIGITAL CAMERAS,Digital cameras
85258030,VIDEO CAMERA RECORDERS,Video camera recorders
85258090,"OTHERS-OF-TELEVISION CAMERAS, DIGITAL CAMERAS AND VIDEO CAMERA RECORDERS:","Cameras, other"
85258100,"Television cameras, digital cameras and video camera recorders High-speed goods",High-speed cameras
85258200,"Television cameras, digital cameras and video camera recorders Other, radiation-hardened or radiation-tolerant goods",Radiation-hardened cameras
85258300,"Television cameras, digital cameras and vidcamera recorders Other, radiation-hardened or radiation-tolerant goods",Night vision cameras
85258900,"Television cameras, digital cameras and vidcamera recorders others","Cameras, other kinds"
85261000,RADAR APPARATUS,Radar apparatus
85269110,DIRECTION MEASURING EQUIPMENT,Direction measuring equipment
85269120,INSTRUMENT LANDING SYSTEM,Instrument landing systems
85269130,DIRECTION FINDING EQUIPMENT,Direction finding equipment
85269140,NON DIRECTIONAL BEACON,Non-directional beacons
85269150,VHF OMNI RANGE EQUIPMENT,VHF omni-range equipment
85269190,OTHERS-OF-OTHR RADIO NAVIGATIONAL AID APPARATUS,"Radio navigation aids, other"
85269200,OTHER RADIO REMOTE CONTROL APPARATUS,Radio remote controls
85271200,POCKET-SIZE RADIO CASSETTE PLAYERS,Pocket radio cassette players
85271300,OTHER APARATUS COMBIND WTH SOUND RECORDNG OR REPRODUCNG APARATUS,Portable radios with recorder
85271900,"OTHR RADIO-BROADCAST RECVRS ABLE TO OPRT WTHT EXTRNL SOURCE OF POWR ,INCL APPRTS ABLE TO RCV RADIO-TELEPHONY/RADIO TL","Portable radios, other"
85272100,"RADIO BRDCST RECVRS WTH RADIO TELPHONY ETCCMBND WTH SND RECRDNG/REPRDCNG APPRTS, USEDMTR VEHCLS, CAN NT OPERATE WTOUT",Car radios with recorder
85272900,"OTHR REDIO-BROADCST RCVRS NT CPBL TO OPRT WTHT EXTRNL POWR,USD IN MOTR VHCLS,INCL APPRTS FR RCVNG RADIO-TLPHNY/RADIO-T","Car radios, other"
85279100,OTHR RADIO BRDCST RECVRS WTH RADIO TELPHNYETC CMBND WTH SND RECRDNG/REPRDCNG APPRTS,Home audio with recorder
85279200,OTHR RADIO BRDCST RECVRS WTH RADIO TELPHNYETC NT CMBND WTH SOUND RECDNG/ REPRDCNG APPRTS BUT CMBND WTH A C,Clock radios
85279900,"OTHERS-OF-OTHERS-OF-RECEPTION APPARATUS FOR RADIO-BROADCASTING WHETHER OR NOT COMBINED, IN THE SAME HOUSING, WITH SOUND RECORD","Radio receivers, other"
85284200,CAPABLE OF DIRECTLY CONNECTING TO AND DESIGNED FOR USE WITH AN AUTOMATIC DATA PROCESSING MACHINE OF HEADING 8471,CRT monitors for computers
85284900,"OTHERS-OF-OTHERS-OF-RECEPTION APARATUS,WH/NOT INCORPRTNG RADIOBRODCST RECIVRS/SOUND/VIDEO RCORDNG/REPRODUCING APARATUS,VIDEO M","CRT monitors, other"
85285200,OTH MONITORS CAPABLE OF DIRECTLY CONNECTING TO AND DESIGNED FOR USE WITH AN AUTOMATIC DATA PROCESSING MACHINE OF HEADING 8471,Monitors for computers
85285900,OTHER MONITORS,"Monitors, other"
85286200,PROJECTORS: CAPABLE OF DIRECTLY CONNECTING TO AND DESIGNED FOR USE WITH AN AUTOMATIC DATA PROCESSING MACHINE OF HEADING 8471,Projectors for computers
85286900,OTHER PROJECTORS:,"Projectors, other"
85287100,OTHER RECEPTN APARTS FOR TV ETC COLOUR,Tuner boxes without screen
85287211,COLOUR TV SET OF SCREEN SIZE UPTO 36 CM,"Colour TV, to 36cm"
85287212,COLOUR TV SET OF SCRN SIZE BETN 36 AND 54 CM,"Colour TV, 36 to 54cm"
85287213,COLOUR TV SET OF SCRN SIZE BETN 54 AND 68 CM,"Colour TV, 54 to 68cm"
85287214,COLOUR TV SET OF SCRN SIZE BETN 68 AND 74 CM,"Colour TV, 68 to 74cm"
85287215,COLOUR TV SET OF SCRN SIZE BETN 74 AND 87 CM,"Colour TV, 74 to 87cm"
85287216,COLOUR TV SET OF SCRN SIZE BETN 87 AND 105CM,"Colour TV, 87 to 105cm"
85287217,COLOUR TV SET OF SCREEN SIZE > 105 CM,"Colour TV, above 105cm"
85287218,LCD CTV SET OF SCREEN SIZE BELOW 63 CM,"LCD TV, below 63cm"
85287219,OTHER LCD TV SET,"LCD TV, other sizes"
85287310,LCD B/W TV SET OF SCREEN SIZE BELOW 25CM,"Monochrome LCD TV, below 25cm"
85287390,OTHR RECEPTN APARTS FR TV ETC B/W/MONOCHRM,"Monochrome TV, other"
85291011,DISH ANTENNA FR COMMNCN JAMMNG EQPTMNTS,Dish antennas for jamming
85291012,DISH ANTENNA FR AMTR RADIO COMMNCN EQPTMNT,Dish antennas for amateur radio
85291019,DISH ANTENNA FR OTHR USE,"Dish antennas, other uses"
85291021,OTHR ANTENNA FR COMMNCN JAMMNG EQPTMNTS,Antennas for jamming
85291022,OTHR ANTENNA FR AMTR RADIO COMMNCN EQPTMNT,Antennas for amateur radio
85291029,OTHR ANTENNA FR OTHR USE,"Antennas, other uses"
85291091,AERIAL PARTS FR COMMNCN JAMMNG EQPTMNTS,Aerial parts for jamming
