code,predecessor,relation,predecessor_valid_to,note,retired_in,valid_to,successors,continuity
852582,852580,split,2021,Before 2022 all television and digital cameras were reported inside HS 852580. The continuous long series is at HS-4 8525.,,,,
852583,852580,split,2021,Before 2022 all television and digital cameras were reported inside HS 852580. The continuous long series is at HS-4 8525.,,,,
852589,852580,split,2021,Before 2022 camera modules were reported inside HS 852580 with all other cameras. The continuous long series is at HS-4 8525.,,,,

# --- flat panel display modules: a heading created in HS 2022 ---------------
852411,,new,,Heading 8524 was created in HS 2022. Before then display modules were reported across several headings,,,,
852412,,new,,Heading 8524 was created in HS 2022. Before then display modules were reported across several headings,,,,
852419,,new,,Heading 8524 was created in HS 2022. Before then display modules were reported across several headings,,,,
852491,,new,,Heading 8524 was created in HS 2022. Before then display modules were reported across several headings,,,,
852492,,new,,Heading 8524 was created in HS 2022. Before then display modules were reported across several headings,,,,
852499,,new,,Heading 8524 was created in HS 2022. Before then display modules were reported across several headings,,,,

# --- codes deleted outright, with no current successor to attach to ---------
# Listed as predecessors of their heading so they leave the product list but
# their data still feeds the HS-4 series.
8473,847310,merge,2021,Typewriter and word-processor parts were dropped as a separate line; the trade now sits across the rest of heading 8473.,,,,
8519,851950,merge,2016,Telephone answering machines were dropped as a separate line and now sit across the rest of heading 8519.,,,,

# --- codes HStat still publishes that the nomenclature has dropped ----------
# These keep their product pages. Their series ends at valid_to; the years
# after it are residual filings by a shrinking handful of reporters and are
# correctly withheld by the coverage gate. Successors are verified against the
# WCO correlation tables and are never summed into this code's series.
845610,,retired,,"HS 2017 subdivided 8456.10 into 8456.11 (laser) and 8456.12 (other light or photon beam). The two successors cover exactly what 8456.10 covered. Reporters filing under 8456.10 fell from 155 in 2016 to 61 in 2017, so years from 2017 are residual filings, not a world total.",2017,2016,845611 845612,exhaustive
850740,,retired,,"HS 2022 deleted 8507.40 for nickel-iron accumulators on low trade volume and folded it into 8507.80. 8507.80 already existed and carries its own earlier trade, so its series is not a continuation of this one.",2022,2021,850780,partial
851770,,retired,,HS 2022 split parts of heading 8517 into 8517.71 (communication antennae and their parts) and 8517.79 (other parts). The two together cover exactly what 8517.70 covered.,2022,2021,851771 851779,exhaustive
853950,,retired,,"HS 2022 renumbered LED lamps from 8539.50 to 8539.52. All of 8539.50 went there, but 8539.52 also absorbed LED lamps previously reported under 8539.90, 8543.70 and several 9405 subheadings, so it is broader than this code was.",2022,2021,853952,partial
854150,,retired,,"HS 2022 replaced 8541.50 with 8541.51 (semiconductor-based transducers) and 8541.59 (other semiconductor devices). The WCO correlation tables give the new subheadings only a general counterpart spanning Chapters 84, 85, 90, 93 and 95, so no exact mapping is asserted here.",2022,2021,854151 854159,unconfirmed
854810,,retired,,"HS 2022 created heading 85.49 for electrical and electronic waste and scrap. Battery waste moved from 8548.10 to 8549.11 through 8549.19, which together cover exactly what 8548.10 covered.",2022,2021,854911 854912 854913 854914 854919,exhaustive
854890,,retired,,"HS 2022 renumbered 8548.90 to 8548.00, but narrowed the heading at the same time by moving electrical and electronic waste and scrap out to the new heading 85.49. The successor is the same line under a new number covering less ground.",2022,2021,854800,partial
